observation_id,observation_date,observation_time,plant_nickname,phenophase_status,abundance_category,abundance_category_value,raw_abundance_value,category,phenophase_name,scientific_name,common_name,latitude,longitude,site_name,elevation,observation_comments,network,date,year,month,class,code,start_phase,end_phase
25741491,2021-04-22,12:44:00 PM,ARPA 1.1,No,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",,NULL,Flowers,Open flowers,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,2.1; all old growth on leaves ,NULL,2021-04-22,2021,4,Angiosperm,ARPA,2021-04-22,2021-09-16
25741492,2021-04-22,12:44:00 PM,ARPA 1.1,No,How many fruits are present?,,NULL,Fruits,Fruits,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,2.1; all old growth on leaves ,NULL,2021-04-22,2021,4,Angiosperm,ARPA,2021-04-22,2021-09-16
25741493,2021-04-22,12:44:00 PM,ARPA 1.1,No,What percentage of all fruits (unripe plus ripe) on the plant are ripe? ,,NULL,Fruits,Ripe fruits,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,2.1; all old growth on leaves ,NULL,2021-04-22,2021,4,Angiosperm,ARPA,2021-04-22,2021-09-16
25741494,2021-04-22,12:44:00 PM,ARPA 1.1,No,How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?,,NULL,Fruits,Recent fruit or seed drop,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,2.1; all old growth on leaves ,NULL,2021-04-22,2021,4,Angiosperm,ARPA,2021-04-22,2021-09-16
25741495,2021-04-22,12:44:00 PM,CECO 1.1,No,"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.",,NULL,Flowers,Flowers or flower buds,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,2.1; empty seed pods from last season; nearby  plant has open blossoms ,NULL,2021-04-22,2021,4,Angiosperm,CECO,2021-04-22,2021-09-16
25741496,2021-04-22,12:44:00 PM,CECO 1.1,No,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",,NULL,Flowers,Open flowers,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,2.1; empty seed pods from last season; nearby  plant has open blossoms ,NULL,2021-04-22,2021,4,Angiosperm,CECO,2021-04-22,2021-09-16
25741497,2021-04-22,12:44:00 PM,CECO 1.1,No,How many fruits are present?,,NULL,Fruits,Fruits,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,2.1; empty seed pods from last season; nearby  plant has open blossoms ,NULL,2021-04-22,2021,4,Angiosperm,CECO,2021-04-22,2021-09-16
25741498,2021-04-22,12:44:00 PM,CECO 1.1,No,What percentage of all fruits (unripe plus ripe) on the plant are ripe? ,,NULL,Fruits,Ripe fruits,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,2.1; empty seed pods from last season; nearby  plant has open blossoms ,NULL,2021-04-22,2021,4,Angiosperm,CECO,2021-04-22,2021-09-16
25741499,2021-04-22,12:44:00 PM,CECO 1.1,Yes,How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?,"More than 10,000",NULL,Fruits,Recent fruit or seed drop,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,2.1; empty seed pods from last season; nearby  plant has open blossoms ,NULL,2021-04-22,2021,4,Angiosperm,CECO,2021-04-22,2021-09-16
25741500,2021-04-22,02:21:00 PM,CADE 1.1,Yes,How many fresh pollen cones are present?,"More than 10,000",NULL,Pollen cones,Pollen cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,2.2,NULL,2021-04-22,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25741501,2021-04-22,02:21:00 PM,CADE 1.1,Yes,What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ,50-74%,NULL,Pollen cones,Open pollen cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,2.2,NULL,2021-04-22,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25741502,2021-04-22,02:21:00 PM,CADE 1.1,Yes,How much pollen is released?,Little,NULL,Pollen cones,Pollen release,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,2.2,NULL,2021-04-22,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25741503,2021-04-22,02:21:00 PM,CADE 1.1,No,How many seed cones are unripe?,,NULL,Seed cones,Unripe seed cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,2.2,NULL,2021-04-22,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25741504,2021-04-22,02:21:00 PM,CADE 1.1,Yes,How many seed cones are ripe?,"1,001 to 10,000",NULL,Seed cones,Ripe seed cones,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,2.2,NULL,2021-04-22,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25741505,2021-04-22,02:21:00 PM,CADE 1.1,Yes,How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?,"101 to 1,000",NULL,Seed cones,Recent cone or seed drop,Calocedrus decurrens,incense cedar,37.0591,-119.2182,CZO,1719,2.2,NULL,2021-04-22,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25741506,2021-04-22,02:21:00 PM,ARPA 1.1,Yes,"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.","101 to 1,000",NULL,Flowers,Flowers or flower buds,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,2.2,NULL,2021-04-22,2021,4,Angiosperm,ARPA,2021-04-22,2021-09-16
25741507,2021-04-22,02:21:00 PM,ARPA 1.1,No,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",,NULL,Flowers,Open flowers,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,2.2,NULL,2021-04-22,2021,4,Angiosperm,ARPA,2021-04-22,2021-09-16
25741508,2021-04-22,02:21:00 PM,ARPA 1.1,No,How many fruits are present?,,NULL,Fruits,Fruits,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,2.2,NULL,2021-04-22,2021,4,Angiosperm,ARPA,2021-04-22,2021-09-16
25741509,2021-04-22,02:21:00 PM,ARPA 1.1,No,What percentage of all fruits (unripe plus ripe) on the plant are ripe? ,,NULL,Fruits,Ripe fruits,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,2.2,NULL,2021-04-22,2021,4,Angiosperm,ARPA,2021-04-22,2021-09-16
25741510,2021-04-22,02:21:00 PM,ARPA 1.1,No,How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?,,NULL,Fruits,Recent fruit or seed drop,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,2.2,NULL,2021-04-22,2021,4,Angiosperm,ARPA,2021-04-22,2021-09-16
25741511,2021-04-22,02:21:00 PM,CECO 1.1,No,"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.",,NULL,Flowers,Flowers or flower buds,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.2, open seed pods from last season",NULL,2021-04-22,2021,4,Angiosperm,CECO,2021-04-22,2021-09-16
25741512,2021-04-22,02:21:00 PM,CECO 1.1,No,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",,NULL,Flowers,Open flowers,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.2, open seed pods from last season",NULL,2021-04-22,2021,4,Angiosperm,CECO,2021-04-22,2021-09-16
25741513,2021-04-22,02:21:00 PM,CECO 1.1,No,How many fruits are present?,,NULL,Fruits,Fruits,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.2, open seed pods from last season",NULL,2021-04-22,2021,4,Angiosperm,CECO,2021-04-22,2021-09-16
25741514,2021-04-22,02:21:00 PM,CECO 1.1,No,What percentage of all fruits (unripe plus ripe) on the plant are ripe? ,,NULL,Fruits,Ripe fruits,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.2, open seed pods from last season",NULL,2021-04-22,2021,4,Angiosperm,CECO,2021-04-22,2021-09-16
25741515,2021-04-22,02:21:00 PM,CECO 1.1,Yes,How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?,"101 to 1,000",NULL,Fruits,Recent fruit or seed drop,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.2, open seed pods from last season",NULL,2021-04-22,2021,4,Angiosperm,CECO,2021-04-22,2021-09-16
25741516,2021-04-22,02:21:00 PM,ABCO 1.1,Yes,How many fresh pollen cones are present?,"1,001 to 10,000",NULL,Pollen cones,Pollen cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.2, unripe seed cones probably 1000isj",NULL,2021-04-22,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25741517,2021-04-22,02:21:00 PM,ABCO 1.1,No,What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ,,NULL,Pollen cones,Open pollen cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.2, unripe seed cones probably 1000isj",NULL,2021-04-22,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25741518,2021-04-22,02:21:00 PM,ABCO 1.1,No,How much pollen is released?,,NULL,Pollen cones,Pollen release,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.2, unripe seed cones probably 1000isj",NULL,2021-04-22,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25741519,2021-04-22,02:21:00 PM,ABCO 1.1,Yes,How many seed cones are unripe?,,NULL,Seed cones,Unripe seed cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.2, unripe seed cones probably 1000isj",NULL,2021-04-22,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25741520,2021-04-22,02:21:00 PM,ABCO 1.1,No,How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?,,NULL,Seed cones,Recent cone or seed drop,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.2, unripe seed cones probably 1000isj",NULL,2021-04-22,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25741521,2021-04-22,02:21:00 PM,CECO 1.1,No,How many young leaves are present?,,NULL,Leaves,Young leaves,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.2, open seed pods from last season",NULL,2021-04-22,2021,4,Angiosperm,CECO,2021-04-22,2021-09-16
25741522,2021-04-22,02:21:00 PM,ABCO 1.1,Yes,How many buds are breaking?,"101 to 1,000",NULL,Needles,Breaking needle buds,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.2, unripe seed cones probably 1000isj",NULL,2021-04-22,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25741523,2021-04-22,02:21:00 PM,ABCO 1.1,Yes,How many young needles are present?,"1,001 to 10,000",NULL,Needles,Young needles,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.2, unripe seed cones probably 1000isj",NULL,2021-04-22,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25741524,2021-04-22,02:21:00 PM,ARPA 1.1,No,How many buds are breaking?,,NULL,Leaves,Breaking leaf buds,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,2.2,NULL,2021-04-22,2021,4,Angiosperm,ARPA,2021-04-22,2021-09-16
25741525,2021-04-22,02:21:00 PM,ARPA 1.1,No,How many young leaves are present?,,NULL,Leaves,Young leaves,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,2.2,NULL,2021-04-22,2021,4,Angiosperm,ARPA,2021-04-22,2021-09-16
25741526,2021-04-22,04:15:00 PM,PIJE 1.1,Yes,"How many needle bundles are emerging?
",11 to 100,NULL,Needles,Emerging needles,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Gymnosperm,PIJE,2021-04-22,2021-09-16
25741527,2021-04-22,04:15:00 PM,PIJE 1.1,No,"How many bundles with young needles are present?
",,NULL,Needles,Young needles,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Gymnosperm,PIJE,2021-04-22,2021-09-16
25741528,2021-04-22,04:15:00 PM,PIJE 1.1,No,How many fresh pollen cones are present?,,NULL,Pollen cones,Pollen cones,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Gymnosperm,PIJE,2021-04-22,2021-09-16
25741529,2021-04-22,04:15:00 PM,PIJE 1.1,No,What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ,,NULL,Pollen cones,Open pollen cones,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Gymnosperm,PIJE,2021-04-22,2021-09-16
25741530,2021-04-22,04:15:00 PM,PIJE 1.1,No,How much pollen is released?,,NULL,Pollen cones,Pollen release,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Gymnosperm,PIJE,2021-04-22,2021-09-16
25741531,2021-04-22,04:15:00 PM,PIJE 1.1,No,How many seed cones are unripe?,,NULL,Seed cones,Unripe seed cones,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Gymnosperm,PIJE,2021-04-22,2021-09-16
25741532,2021-04-22,04:15:00 PM,PIJE 1.1,No,How many seed cones are ripe?,,NULL,Seed cones,Ripe seed cones,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Gymnosperm,PIJE,2021-04-22,2021-09-16
25741533,2021-04-22,04:15:00 PM,PIJE 1.1,No,How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?,,NULL,Seed cones,Recent cone or seed drop,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Gymnosperm,PIJE,2021-04-22,2021-09-16
25741534,2021-04-22,04:15:00 PM,QUKE 1.1,No,How many buds are breaking?,,NULL,Leaves,Breaking leaf buds,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Angiosperm,QUKE,2021-04-22,2021-09-16
25741535,2021-04-22,04:15:00 PM,QUKE 1.1,No,"What percentage of the potential canopy space is full with leaves? Ignore dead branches in your estimate of potential canopy space.
",,NULL,Leaves,Leaves,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Angiosperm,QUKE,2021-04-22,2021-09-16
25741536,2021-04-22,04:15:00 PM,QUKE 1.1,No,What percentage of full size are most leaves?,,NULL,Leaves,Increasing leaf size,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Angiosperm,QUKE,2021-04-22,2021-09-16
25741537,2021-04-22,04:15:00 PM,QUKE 1.1,No,"What percentage of the potential canopy space is full with non-green leaf color? Ignore dead branches in your estimate of potential canopy space.
",,NULL,Leaves,Colored leaves,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Angiosperm,QUKE,2021-04-22,2021-09-16
25741538,2021-04-22,04:15:00 PM,QUKE 1.1,No,,,NULL,Leaves,Falling leaves,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Angiosperm,QUKE,2021-04-22,2021-09-16
25741539,2021-04-22,04:15:00 PM,QUKE 1.1,No,"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.",,NULL,Flowers,Flowers or flower buds,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Angiosperm,QUKE,2021-04-22,2021-09-16
25741540,2021-04-22,04:15:00 PM,QUKE 1.1,No,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",,NULL,Flowers,Open flowers,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Angiosperm,QUKE,2021-04-22,2021-09-16
25741541,2021-04-22,04:15:00 PM,QUKE 1.1,No,How much pollen is released?,,NULL,Flowers,Pollen release,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Angiosperm,QUKE,2021-04-22,2021-09-16
25741542,2021-04-22,04:15:00 PM,QUKE 1.1,No,How many fruits are present?,,NULL,Fruits,Fruits,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Angiosperm,QUKE,2021-04-22,2021-09-16
25741543,2021-04-22,04:15:00 PM,QUKE 1.1,No,What percentage of all fruits (unripe plus ripe) on the plant are ripe? ,,NULL,Fruits,Ripe fruits,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Angiosperm,QUKE,2021-04-22,2021-09-16
25741544,2021-04-22,04:15:00 PM,QUKE 1.1,No,How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?,,NULL,Fruits,Recent fruit or seed drop,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL,2021-04-22,2021,4,Angiosperm,QUKE,2021-04-22,2021-09-16
25751738,2021-04-23,01:19:00 PM,CADE 2.1,Yes,How many fresh pollen cones are present?,"101 to 1,000",NULL,Pollen cones,Pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,Large mature tree in full sun; DBH: 82 cm,NULL,2021-04-23,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25751739,2021-04-23,01:19:00 PM,CADE 2.1,Yes,What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ,Less than 5%,NULL,Pollen cones,Open pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,Large mature tree in full sun; DBH: 82 cm,NULL,2021-04-23,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25751740,2021-04-23,01:19:00 PM,CADE 2.1,Yes,How much pollen is released?,Little,NULL,Pollen cones,Pollen release,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,Large mature tree in full sun; DBH: 82 cm,NULL,2021-04-23,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25751741,2021-04-23,01:19:00 PM,CADE 2.1,No,How many seed cones are unripe?,,NULL,Seed cones,Unripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,Large mature tree in full sun; DBH: 82 cm,NULL,2021-04-23,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25751742,2021-04-23,01:19:00 PM,CADE 2.1,Yes,How many seed cones are ripe?,"101 to 1,000",NULL,Seed cones,Ripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,Large mature tree in full sun; DBH: 82 cm,NULL,2021-04-23,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25751743,2021-04-23,01:19:00 PM,CADE 2.1,Yes,How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?,"101 to 1,000",NULL,Seed cones,Recent cone or seed drop,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,Large mature tree in full sun; DBH: 82 cm,NULL,2021-04-23,2021,4,Gymnosperm,CADE,2021-04-22,2021-09-16
25751744,2021-04-23,01:19:00 PM,ABCO 2.1,No,How many buds are breaking?,,NULL,Needles,Breaking needle buds,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL,2021-04-23,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25751745,2021-04-23,01:19:00 PM,ABCO 2.1,Yes,How many young needles are present?,"More than 10,000",NULL,Needles,Young needles,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL,2021-04-23,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25751746,2021-04-23,01:19:00 PM,ABCO 2.1,Yes,How many fresh pollen cones are present?,"More than 10,000",NULL,Pollen cones,Pollen cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL,2021-04-23,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25751747,2021-04-23,01:19:00 PM,ABCO 2.1,No,What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ,,NULL,Pollen cones,Open pollen cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL,2021-04-23,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25751748,2021-04-23,01:19:00 PM,ABCO 2.1,No,How much pollen is released?,,NULL,Pollen cones,Pollen release,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL,2021-04-23,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25751749,2021-04-23,01:19:00 PM,ABCO 2.1,Yes,How many seed cones are unripe?,,NULL,Seed cones,Unripe seed cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL,2021-04-23,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25751750,2021-04-23,01:19:00 PM,ABCO 2.1,No,How many seed cones are ripe?,,NULL,Seed cones,Ripe seed cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL,2021-04-23,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
25751751,2021-04-23,01:19:00 PM,ABCO 2.1,No,How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?,,NULL,Seed cones,Recent cone or seed drop,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL,2021-04-23,2021,4,Gymnosperm,ABCO,2021-04-22,2021-09-16
