,bins10lfm,bins20lfm,binsname,bins5lfm,dry.wt,dw.flam.sample,fd,fh,fresh.wt,gd,gdw.gfw,gdw.gww,gdw.gww.saturated,glow,gr,gti,gww.gdw,gww.gdw.saturated,hydration,ignition,ignition.temp,individual,lfm.NAs.imputed,lfm.notes,lfm.outliers.out,max.mpa.sample,model,model.spp.gr,model.spp.gr.sample,month,mpa,pfg,precip.2mo,precip.2month,prop.ignite,prop.new,ros,round,RWC,RWD,sample,sample.wt,season,site,spp,start.temp,temp.change,temp.max,ttfg,tti,water.wt,ww.flam.sample,year,year.month,flam.index,mean.wt,dry.norm.fh,dry.norm.gd,dry.norm.fd,dry.norm.pfg,dry.norm.ttfg,dry.norm.tti,dry.norm.gti
177,"(110,120]","(100,120]",100,"(115,120]",0.3003,0.271793692,8,9,0.6563,145,0.457565138,0.843539326,0.54358655,1,"(110,120]",11,1.185678601,1.423709586,hydrated,1,278.8,2019_December_CEME_6,118.5678601,0,118.5678601,-0.31,EPI,"2019_December_EPI_CEME_(110,120]","2019_December_EPI_CEME_(110,120]_6",December,3.752,126,3.69,2019_December,67,100,1.25,5,83.28093121,16.71906879,6,0.594,Wet,St. Marys,CEME,273.8,11.7,285.5,32,43,0.356,0.322206308,2019,2019_December,10.14727113,0.522964977,33.1133513,533.492882,29.43409004,463.5869181,117.7363602,158.208234,40.47187381
184,"(110,120]","(100,120]",100,"(110,115]",0.3492,0.251844995,13,4,0.7432,150,0.469860065,0.886294416,0.51950188,1,"(110,120]",26,1.128454819,1.234106208,hydrated,1,278.8,2019_December_CEME_9,112.8454819,0,112.8454819,-0.362,EPI,"2019_December_EPI_CEME_(110,120]","2019_December_EPI_CEME_(110,120]_9",December,4.61,111,3.69,2019_December,67,100,0.769230769,6,91.43903593,8.560964066,9,0.536,Wet,St. Marys,CEME,275.5,8.7,284.2,15,41,0.394,0.284155005,2019,2019_December,9.182625099,0.522964977,15.88278539,595.604452,51.6190525,440.7472945,59.5604452,162.7985502,103.238105
185,"(100,110]","(100,120]",100,"(100,105]",0.4786,0.238307054,14,10,0.964,106,0.496473029,0.985990935,0.367606193,1,"(100,110]",18,1.014208107,1.313260941,hydrated,1,278.8,2019_December_CEME_1,101.4208107,Missing lower video,101.4208107,-0.163,EPI,"2019_December_EPI_CEME_(100,110]","2019_December_EPI_CEME_(100,110]_1",December,1.19,74,3.69,2019_December,50,100,0.714285714,7,77.22822444,22.77177556,1,0.48,Wet,St. Marys,CEME,269.3,22.8,292.1,17,35,0.4854,0.241692946,2019,2019_December,11.34873787,0.522964977,41.9626689,444.8042903,58.74773645,310.5237498,71.33653712,146.8693411,75.53280401
186,"(110,120]","(100,120]",100,"(110,115]",0.7044,0.211180146,6,10,1.511,131,0.466181337,0.873295314,0.314155942,1,"(110,120]",24,1.145088018,1.497320472,hydrated,1,278.8,2019_December_CEME_2,114.5088018,Missing lower video,114.5088018,-0.167,EPI,"2019_December_EPI_CEME_(110,120]","2019_December_EPI_CEME_(110,120]_2",December,0.56,101,3.69,2019_December,67,100,1.666666667,7,76.47581392,23.52418608,2,0.453,Wet,St. Marys,CEME,271.8,-4.4,267.4,26,50,0.8066,0.241819854,2019,2019_December,9.694260709,0.522964977,47.35293638,620.3234666,28.41176183,478.2646575,123.1176346,236.7646819,113.6470473
193,"(110,120]","(100,120]",100,"(110,115]",0.2688,0.25176338,17,10,0.568,187,0.473239437,0.898395722,0.314155942,1,"(110,120]",29,1.113095238,1.497320472,hydrated,1,278.8,2019_December_CEME_2,111.3095238,Missing lower video,111.3095238,-0.167,EPI,"2019_December_EPI_CEME_(110,120]","2019_December_EPI_CEME_(110,120]_2",December,1.52,141,3.69,2019_December,67,100,0.588235294,8,74.33914508,25.66085492,2,0.532,Wet,St. Marys,CEME,278.7,-3,275.7,18,47,0.2992,0.28023662,2019,2019_December,9.958420927,0.522964977,39.7198353,742.7609202,67.52372001,560.0496778,71.49570354,186.6832259,115.1875224
198,"(100,110]","(100,120]",100,"(105,110]",0.3012,0.327243973,18,9,0.6222,126,0.484088717,0.938317757,0.51950188,1,"(100,110]",17,1.06570167,1.234106208,hydrated,1,278.8,2019_December_CEME_9,106.570167,0,106.570167,-0.362,EPI,"2019_December_EPI_CEME_(100,110]","2019_December_EPI_CEME_(100,110]_9",December,5.56,91,3.69,2019_December,50,100,0.555555556,8,86.35412925,13.64587075,9,0.676,Wet,St. Marys,CEME,253.3,45.1,298.4,18,35,0.321,0.348756027,2019,2019_December,11.12101171,0.522964977,27.50241637,385.0338292,55.00483274,278.0799877,55.00483274,106.9538414,51.9490087
200,"(100,110]","(100,120]",100,"(105,110]",0.3227,0.264779487,3,16.5,0.663,188,0.486726998,0.948280929,0.314155942,1,"(100,110]",42,1.05453982,1.497320472,hydrated,1,278.8,2019_December_CEME_2,105.453982,0,105.453982,-0.167,EPI,"2019_December_EPI_CEME_(100,110]","2019_December_EPI_CEME_(100,110]_2",December,1.91,143,3.69,2019_December,50,100,3.333333333,9,70.4284647,29.5715353,2,0.544,Wet,St. Marys,CEME,277.6,7.7,285.3,18,60,0.3403,0.279220513,2019,2019_December,10.00520879,0.522964977,62.31600558,710.0247908,11.33018283,540.0720483,67.98109699,226.6036566,158.6225597
201,"(100,110]","(100,120]",100,"(100,105]",0.4001,0.280667164,4,12.5,0.804,113,0.497636816,0.990591731,0.698492462,1,"(100,110]",27,1.009497626,1.431654676,hydrated,1,278.8,2019_December_CEME_3,100.9497626,0,100.9497626,-0.263,EPI,"2019_December_EPI_CEME_(100,110]","2019_December_EPI_CEME_(100,110]_3",December,2.98,82,3.69,2019_December,50,100,2.5,9,70.51264826,29.48735174,3,0.564,Wet,St. Marys,CEME,272.6,0.2,272.8,9,36,0.4039,0.283332836,2019,2019_December,11.73632079,0.522964977,44.53673816,402.6121129,14.25175621,292.1610023,32.06645147,128.2658059,96.19935442
211,"(110,120]","(100,120]",100,"(115,120]",0.2845,0.250526401,11,6,0.6155,118,0.462225833,0.859516616,0.54358655,1,"(110,120]",33,1.163649147,1.423709586,hydrated,1,278.8,2019_December_CEME_6,116.3649147,0,116.3649147,-0.31,EPI,"2019_December_EPI_CEME_(110,120]","2019_December_EPI_CEME_(110,120]_6",December,6.57,74,3.69,2019_December,67,100,0.909090909,10,81.73360343,18.26639657,6,0.542,Wet,St. Marys,CEME,249.4,11.2,260.6,6,39,0.331,0.291473599,2019,2019_December,9.897928997,0.522964977,23.94957166,471.0082426,43.90754804,295.3780504,23.94957166,155.6722158,131.7226441
214,"(100,110]","(100,120]",100,"(100,105]",0.3116,0.290313663,4,3,0.6236,123,0.499679282,0.998717949,0.51950188,1,"(100,110]",44,1.001364038,1.234106208,hydrated,1,278.8,2019_December_CEME_9,100.1364038,0,100.1364038,-0.362,EPI,"2019_December_EPI_CEME_(100,110]","2019_December_EPI_CEME_(100,110]_9",December,6.26,75,3.69,2019_December,50,100,2.5,10,81.14083144,18.85916856,9,0.581,Wet,St. Marys,CEME,252.4,5,257.4,4,48,0.312,0.290686337,2019,2019_December,8.322576368,0.522964977,10.33365076,423.6796811,13.77820101,258.341269,13.77820101,165.3384121,151.5602111
230,"(110,120]","(100,120]",100,"(115,120]",0.3097,0.287545604,11,15.5,0.671,153,0.461549925,0.857182397,0.314155942,1,"(110,120]",15,1.166612851,1.497320472,hydrated,1,278.8,2019_December_CEME_2,116.6612851,0,116.6612851,-0.167,EPI,"2019_December_EPI_CEME_(110,120]","2019_December_EPI_CEME_(110,120]_2",December,5.76,127,3.69,2019_December,67,100,0.909090909,15,77.91337077,22.08662923,2,0.623,Wet,St. Marys,CEME,267.1,20.8,287.9,22,37,0.3613,0.335454396,2019,2019_December,12.16658184,0.522964977,53.90449309,532.0895124,38.25480155,441.6690724,76.50960309,128.6752416,52.16563847
235,"(100,110]","(100,120]",100,"(105,110]",0.1792,0.174770875,3,4.25,0.5988,100,0.299265197,0.427073403,0.408365438,1,"(100,110]",39,1.083512907,1.505224898,hydrated,1,278.8,2020_January_CEME_1,108.3512907,0,NA,-0.52,EPI,"2020_January_EPI_CEME_(100,110]","2020_January_EPI_CEME_(100,110]_1",January,0.52,58,5.82,2020_January,22,100,3.333333333,1,71.98345629,28.01654371,1,0.584,Wet,St. Marys,CEME,268.2,8.7,276.9,11,50,0.4196,0.409229125,2020,2020_January,8.476212922,0.522964977,24.3175529,572.1777153,17.16533146,331.8630749,62.93954868,286.0888576,223.149309
236,"(100,110]","(100,120]",100,"(105,110]",0.308,0.205085645,7,11,0.829,106,0.371531966,0.591170825,0.346639511,1,"(100,110]",19,1.084669501,1.193153153,hydrated,1,278.8,2020_January_CEME_3,108.4669501,0,NA,-0.5,EPI,"2020_January_EPI_CEME_(100,110]","2020_January_EPI_CEME_(100,110]_3",January,0.5,80,5.82,2020_January,22,100,1.428571429,1,90.90781832,9.092181684,3,0.552,Wet,St. Marys,CEME,268.8,67.3,336.1,23,42,0.521,0.346914355,2020,2020_January,10.66618736,0.522964977,53.63612836,516.857237,34.13208169,390.0809336,112.1482684,204.7924901,92.64422172
237,"(100,110]","(100,120]",100,"(100,105]",0.1852,0.182704043,6,5,0.5565,90,0.33279425,0.498788042,0.408365438,1,"(100,110]",25,1.014117267,1.505224898,hydrated,1,278.8,2020_January_CEME_1,101.4117267,0,NA,-0.52,EPI,"2020_January_EPI_CEME_(100,110]","2020_January_EPI_CEME_(100,110]_1",January,1.72,59,5.82,2020_January,22,100,1.666666667,2,67.37313925,32.62686075,1,0.549,Wet,St. Marys,CEME,264.1,4,268.1,18,43,0.3713,0.366295957,2020,2020_January,9.239195504,0.522964977,27.36666313,492.5999363,32.83999575,322.9266249,98.51998725,235.3533029,136.8333156
238,"(100,110]","(100,120]",100,"(100,105]",0.1818,0.143827304,4,8,0.6358,95,0.285938975,0.400440529,0.337237237,1,"(100,110]",23,1.044767008,1.416280864,hydrated,1,278.8,2020_January_CEME_2,104.4767008,0,NA,-0.38,EPI,"2020_January_EPI_CEME_(100,110]","2020_January_EPI_CEME_(100,110]_2",January,1.19,68,5.82,2020_January,22,100,2.5,2,73.76834879,26.23165121,2,0.503,Wet,St. Marys,CEME,267,4.1,271.1,24,47,0.454,0.359172696,2020,2020_January,9.551705031,0.522964977,55.62226203,660.5143616,27.81113101,472.7892272,166.8667861,326.7807894,159.9140033
239,"(100,110]","(100,120]",100,"(100,105]",0.1702,0.122527526,1,8,0.6612,98,0.257410768,0.346639511,0.346639511,1,"(100,110]",34,1.027418098,1.193153153,hydrated,1,278.8,2020_January_CEME_3,102.7418098,0,NA,-0.5,EPI,"2020_January_EPI_CEME_(100,110]","2020_January_EPI_CEME_(100,110]_3",January,1.49,63,5.82,2020_January,22,100,10,2,86.10949022,13.89050978,3,0.476,Wet,St. Marys,CEME,280.2,-8.1,272.1,15,49,0.491,0.353472474,2020,2020_January,9.380044094,0.522964977,65.29145148,799.8202806,8.161431435,514.1701804,122.4214715,399.9101403,277.4886688
240,"(100,110]","(100,120]",100,"(100,105]",0.1685,0.176796777,3,5,0.5585,130,0.301700985,0.432051282,0.125366876,1,"(100,110]",39,1.02510491,1.466992665,hydrated,1,278.8,2020_January_CEME_5,102.510491,temp probe turned off; no temp data,NA,-0.467,EPI,"2020_January_EPI_CEME_(100,110]","2020_January_EPI_CEME_(100,110]_5",January,1.53,88,5.82,2020_January,22,100,3.333333333,2,69.87798467,30.12201533,5,0.586,Wet,St. Marys,CEME,263,-2.5,260.5,20,59,0.39,0.409203223,2020,2020_January,8.061194321,0.522964977,28.28105853,735.3075217,16.96863512,497.7466301,113.1242341,333.7164906,220.5922565
259,"(100,110]","(100,120]",100,"(100,105]",0.2758,0.199361603,6,15,0.5589,86,0.493469315,0.974214059,0.337237237,1,"(100,110]",15,1.026654578,1.416280864,hydrated,1,278.8,2020_January_CEME_2,102.6654578,0,102.6654578,-0.38,EPI,"2020_January_EPI_CEME_(100,110]","2020_January_EPI_CEME_(100,110]_2",January,6.8,65,5.82,2020_January,22,100,1.666666667,7,72.48947607,27.51052393,2,0.404,Wet,St. Marys,CEME,265.5,1,266.5,14,29,0.2831,0.204638397,2020,2020_January,13.46585187,0.522964977,75.24016542,431.3769484,30.09606617,326.0407168,70.2241544,145.4643198,75.24016542
262,"(110,120]","(100,120]",100,"(110,115]",0.2287,0.244261031,7,13,0.485,91,0.471546392,0.892313695,0.346639511,1,"(110,120]",27,1.120682116,1.193153153,hydrated,1,278.8,2020_January_CEME_3,112.0682116,0,112.0682116,-0.5,EPI,"2020_January_EPI_CEME_(110,120]","2020_January_EPI_CEME_(110,120]_3",January,4.6,57,5.82,2020_January,20,100,1.428571429,9,93.92609098,6.073909021,3,0.518,Wet,St. Marys,CEME,271.7,0,271.7,14,41,0.2563,0.273738969,2020,2020_January,11.17055015,0.522964977,53.22175195,372.5522637,28.65786644,233.3569124,57.31573287,167.8532177,110.5374848
264,"(100,110]","(100,120]",100,"(105,110]",0.2589,0.207197457,3,3.5,0.5348,208,0.484106208,0.938383472,0.408365438,1,"(100,110]",32,1.065868263,1.505224898,hydrated,1,278.8,2020_January_CEME_1,106.5868263,0,106.5868263,-0.52,EPI,"2020_January_EPI_CEME_(100,110]","2020_January_EPI_CEME_(100,110]_1",January,5.1,173,5.82,2020_January,22,100,3.333333333,10,70.8112299,29.1887701,1,0.428,Wet,St. Marys,CEME,269,-5.8,263.2,10,42,0.2759,0.220802543,2020,2020_January,8.95631699,0.522964977,16.89209921,1003.873325,14.47894218,834.9523325,48.26314061,202.7051905,154.4420499
266,"(110,120]","(100,120]",100,"(110,115]",0.262,0.29395122,8,17,0.5535,126,0.4733514,0.898799314,0.125366876,1,"(110,120]",11,1.112807788,1.466992665,hydrated,1,278.8,2020_January_CEME_5,111.2807788,0,111.2807788,-0.467,EPI,"2020_January_EPI_CEME_(110,120]","2020_January_EPI_CEME_(110,120]_5",January,5,107,5.82,2020_January,20,100,1.25,10,75.85639755,24.14360245,5,0.621,Wet,St. Marys,CEME,269.2,2.2,271.4,26,37,0.2915,0.32704878,2020,2020_January,12.43295681,0.522964977,57.83272486,428.642549,27.21539993,364.0059741,88.45004978,125.8712247,37.42117491
275,"(100,110]","(100,120]",100,"(100,105]",0.2855,0.274209321,1,8.5,0.574,137,0.49738676,0.989601386,0.989601386,1,"(100,110]",46,1.010507881,1.010507881,hydrated,1,281.7,2020_September_CEME_1.1,101.0507881,0,101.0507881,-0.208,EPI,"2020_September_EPI_CEME_(100,110]","2020_September_EPI_CEME_(100,110]_1.1",September,0.208,90,0.01,2020_September,33,100,10,1,100,0,1.1,0.5513,Dry,St. Marys,CEME,275.6,20.7,296.3,10,56,0.2885,0.277090679,2020,2020_September,8.954940254,0.522964977,30.99821692,499.6183198,3.646849049,328.2164144,36.46849049,204.2235468,167.7550563
276,"(100,110]","(100,120]",100,"(100,105]",0.2677,0.259499557,5,14.5,0.5419,90,0.494002584,0.976294675,0.976294675,1,"(100,110]",8,1.024280911,1.024280911,hydrated,1,208.9,2020_September_ADFA_1.2,102.4280911,0,102.4280911,-0.244,EPI,"2020_September_EPI_ADFA_(100,110]","2020_September_EPI_ADFA_(100,110]_1.2",September,0.713,77,0.01,2020_September,67,100,2,1,100,0,1.2,0.5253,Dry,St. Marys,ADFA,222.3,65.1,287.4,20,28,0.2742,0.265800443,2020,2020_September,13.57282316,0.505959643,55.8767813,346.8214012,19.26785562,296.7249766,77.07142248,107.8999915,30.82856899
278,"(100,110]","(100,120]",100,"(100,105]",0.2557,0.239269277,4,9,0.512,119,0.499414063,0.997658993,0.997658993,1,"(100,110]",26,1.0023465,1.0023465,hydrated,1,236.2,2020_September_ADFA_1.3,100.23465,0,100.23465,-0.471,EPI,"2020_September_EPI_ADFA_(100,110]","2020_September_EPI_ADFA_(100,110]_1.3",September,0.471,89,0.01,2020_September,67,100,2.5,1,100,0,1.3,0.4791,Dry,St. Marys,ADFA,241.6,48.7,290.3,15,41,0.2563,0.239830723,2020,2020_September,10.36340514,0.505959643,37.6145241,497.3475965,16.71756627,371.9658495,62.69087351,171.3550543,108.6641807
281,"(100,110]","(100,120]",100,"(105,110]",0.2367,0.247876962,6,8.5,0.4892,128,0.483851186,0.937425743,0.937425743,1,"(100,110]",19,1.066751162,1.066751162,hydrated,1,265,2020_September_CEME_1.4,106.6751162,0,106.6751162,-0.192,EPI,"2020_September_EPI_CEME_(100,110]","2020_September_EPI_CEME_(100,110]_1.4",September,0.192,103,0.01,2020_September,33,100,1.666666667,1,100,0,1.4,0.5123,Dry,St. Marys,CEME,274.5,92.6,367.1,22,41,0.2525,0.264423038,2020,2020_September,10.25450872,0.522964977,34.29120608,516.385221,24.20555723,415.5287325,88.75370986,165.4046411,76.65093124
283,"(110,120]","(100,120]",100,"(115,120]",0.2773,0.251665685,38,3,0.6047,141,0.4585745,0.846976176,0.846976176,1,"(110,120]",65,1.180670754,1.180670754,hydrated,1,288.5,2020_September_CEME_1.5,118.0670754,0,118.0670754,-0.145,EPI,"2020_September_EPI_CEME_(110,120]","2020_September_EPI_CEME_(110,120]_1.5",September,0.145,38,0.01,2020_September,50,100,0.263157895,1,100,0,1.5,0.5488,Dry,St. Marys,CEME,281.7,40.2,321.9,21,86,0.3274,0.297134315,2020,2020_September,6.561461451,0.522964977,11.92057628,560.267085,150.9939662,150.9939662,83.44403394,341.7231866,258.2791527
284,"(100,110]","(100,120]",100,"(105,110]",0.2538,0.257806352,3,4.5,0.5258,133,0.482693039,0.933088235,0.933088235,1,"(100,110]",27,1.071710008,1.071710008,hydrated,1,248.6,2020_September_ADFA_1.6,107.1710008,0,107.1710008,-0.316,EPI,"2020_September_EPI_ADFA_(100,110]","2020_September_EPI_ADFA_(100,110]_1.6",September,0.316,103,0.01,2020_September,67,100,3.333333333,1,100,0,1.6,0.5341,Dry,St. Marys,ADFA,256.4,29.7,286.1,29,56,0.272,0.276293648,2020,2020_September,8.130528168,0.505959643,17.45496168,515.8910898,11.63664112,399.5246785,112.4875309,217.217301,104.7297701
287,"(100,110]","(100,120]",100,"(105,110]",0.3672,0.218918766,2,7.5,0.7652,120,0.479874543,0.922613065,0.922613065,1,"(100,110]",40,1.083877996,1.083877996,hydrated,1,295.9,2020_September_CEME_2.1,108.3877996,0,108.3877996,-0.641,EPI,"2020_September_EPI_CEME_(100,110]","2020_September_EPI_CEME_(100,110]_2.1",September,0.641,78,0.01,2020_September,33,100,5,1,100,0,2.1,0.4562,Dry,Painted Caves,CEME,283.8,40.6,324.4,20,60,0.398,0.237281234,2020,2020_September,8.509530714,0.522964977,34.25928314,548.1485302,9.135808837,356.2965446,91.35808837,274.0742651,182.7161767
289,"(100,110]","(100,120]",100,"(105,110]",0.2717,0.238221296,18,7.5,0.5616,154,0.483796296,0.937219731,0.937219731,1,"(100,110]",29,1.066985646,1.066985646,hydrated,1,263.6,2020_September_CEME_2.2,106.6985646,0,106.6985646,-0.226,EPI,"2020_September_EPI_CEME_(100,110]","2020_September_EPI_CEME_(100,110]_2.2",September,0.226,107,0.01,2020_September,33,100,0.555555556,1,100,0,2.2,0.4924,Dry,Painted Caves,CEME,278.3,22.5,300.8,27,56,0.2899,0.254178704,2020,2020_September,8.759685901,0.522964977,31.48333133,646.4577365,75.55999518,449.1621936,113.3399928,235.0755406,121.7355478
