Observation_ID,Observation_Date,Observation_Time,Plant_Nickname,Phenophase_Status,Abundance_Category,Abundance_Category_Value,Raw_Abundance_Value,Category,Phenophase_Name,Scientific_Name,Common_Name,Latitude,Longitude,Site_Name,Elevation,Observation_Comments,Network
25741518,2021-04-22,02:21:00 PM,ABCO 1.1,No,"How much pollen is released?",,NULL,Pollen cones,Pollen release,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.2, unripe seed cones probably 1000isj",NULL
25741519,2021-04-22,02:21:00 PM,ABCO 1.1,Yes,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.2, unripe seed cones probably 1000isj",NULL
25741520,2021-04-22,02:21:00 PM,ABCO 1.1,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.2, unripe seed cones probably 1000isj",NULL
25741521,2021-04-22,02:21:00 PM,CECO 1.1,No,"How many young leaves are present?",,NULL,Leaves,Young leaves,Ceanothus cordulatus,whitethorn ceanothus,37.0591,-119.2182,CZO,1719,"2.2, open seed pods from last season",NULL
25741522,2021-04-22,02:21:00 PM,ABCO 1.1,Yes,"How many buds are breaking?","101 to 1,000",NULL,Needles,Breaking needle buds,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.2, unripe seed cones probably 1000isj",NULL
25741523,2021-04-22,02:21:00 PM,ABCO 1.1,Yes,"How many young needles are present?","1,001 to 10,000",NULL,Needles,Young needles,Abies concolor,white fir,37.0591,-119.2182,CZO,1719,"2.2, unripe seed cones probably 1000isj",NULL
25741524,2021-04-22,02:21:00 PM,ARPA 1.1,No,"How many buds are breaking?",,NULL,Leaves,Breaking leaf buds,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"2.2",NULL
25741525,2021-04-22,02:21:00 PM,ARPA 1.1,No,"How many young leaves are present?",,NULL,Leaves,Young leaves,Arctostaphylos patula,greenleaf manzanita,37.0591,-119.2182,CZO,1719,"2.2",NULL
25741526,2021-04-22,04:15:00 PM,PIJE 1.1,Yes,"How many needle bundles are emerging?","11 to 100",NULL,Needles,Emerging needles,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL
25741527,2021-04-22,04:15:00 PM,PIJE 1.1,No,"How many bundles with young needles are present?",,NULL,Needles,Young needles,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL
25741528,2021-04-22,04:15:00 PM,PIJE 1.1,No,"How many fresh pollen cones are present?",,NULL,Pollen cones,Pollen cones,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL
25741529,2021-04-22,04:15:00 PM,PIJE 1.1,No,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ",,NULL,Pollen cones,Open pollen cones,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL
25741530,2021-04-22,04:15:00 PM,PIJE 1.1,No,"How much pollen is released?",,NULL,Pollen cones,Pollen release,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL
25741531,2021-04-22,04:15:00 PM,PIJE 1.1,No,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL
25741532,2021-04-22,04:15:00 PM,PIJE 1.1,No,"How many seed cones are ripe?",,NULL,Seed cones,Ripe seed cones,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL
25741533,2021-04-22,04:15:00 PM,PIJE 1.1,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Pinus jeffreyi,Jeffrey pine,37.0591,-119.2182,CZO,1719,,NULL
25741534,2021-04-22,04:15:00 PM,QUKE 1.1,No,"How many buds are breaking?",,NULL,Leaves,Breaking leaf buds,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL
25741535,2021-04-22,04:15:00 PM,QUKE 1.1,No,"What percentage of the potential canopy space is full with leaves? Ignore dead branches in your estimate of potential canopy space.",,NULL,Leaves,Leaves,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL
25741536,2021-04-22,04:15:00 PM,QUKE 1.1,No,"What percentage of full size are most leaves?",,NULL,Leaves,Increasing leaf size,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL
25741537,2021-04-22,04:15:00 PM,QUKE 1.1,No,"What percentage of the potential canopy space is full with non-green leaf color? Ignore dead branches in your estimate of potential canopy space.",,NULL,Leaves,Colored leaves,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL
25741538,2021-04-22,04:15:00 PM,QUKE 1.1,No,,,NULL,Leaves,Falling leaves,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL
25741539,2021-04-22,04:15:00 PM,QUKE 1.1,No,"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.",,NULL,Flowers,Flowers or flower buds,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL
25741540,2021-04-22,04:15:00 PM,QUKE 1.1,No,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",,NULL,Flowers,Open flowers,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL
25741541,2021-04-22,04:15:00 PM,QUKE 1.1,No,"How much pollen is released?",,NULL,Flowers,Pollen release,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL
25741542,2021-04-22,04:15:00 PM,QUKE 1.1,No,"How many fruits are present?",,NULL,Fruits,Fruits,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL
25741543,2021-04-22,04:15:00 PM,QUKE 1.1,No,"What percentage of all fruits (unripe plus ripe) on the plant are ripe? ",,NULL,Fruits,Ripe fruits,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL
25741544,2021-04-22,04:15:00 PM,QUKE 1.1,No,"How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Fruits,Recent fruit or seed drop,Quercus kelloggii,California black oak,37.0591,-119.2182,CZO,1719,,NULL
25751738,2021-04-23,01:19:00 PM,CADE 2.1,Yes,"How many fresh pollen cones are present?","101 to 1,000",NULL,Pollen cones,Pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Large mature tree in full sun; DBH: 82 cm",NULL
25751739,2021-04-23,01:19:00 PM,CADE 2.1,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ","Less than 5%",NULL,Pollen cones,Open pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Large mature tree in full sun; DBH: 82 cm",NULL
25751740,2021-04-23,01:19:00 PM,CADE 2.1,Yes,"How much pollen is released?","Little",NULL,Pollen cones,Pollen release,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Large mature tree in full sun; DBH: 82 cm",NULL
25751741,2021-04-23,01:19:00 PM,CADE 2.1,No,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Large mature tree in full sun; DBH: 82 cm",NULL
25751742,2021-04-23,01:19:00 PM,CADE 2.1,Yes,"How many seed cones are ripe?","101 to 1,000",NULL,Seed cones,Ripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Large mature tree in full sun; DBH: 82 cm",NULL
25751743,2021-04-23,01:19:00 PM,CADE 2.1,Yes,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?","101 to 1,000",NULL,Seed cones,Recent cone or seed drop,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Large mature tree in full sun; DBH: 82 cm",NULL
25751744,2021-04-23,01:19:00 PM,ABCO 2.1,No,"How many buds are breaking?",,NULL,Needles,Breaking needle buds,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL
25751745,2021-04-23,01:19:00 PM,ABCO 2.1,Yes,"How many young needles are present?","More than 10,000",NULL,Needles,Young needles,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL
25751746,2021-04-23,01:19:00 PM,ABCO 2.1,Yes,"How many fresh pollen cones are present?","More than 10,000",NULL,Pollen cones,Pollen cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL
25751747,2021-04-23,01:19:00 PM,ABCO 2.1,No,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ",,NULL,Pollen cones,Open pollen cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL
25751748,2021-04-23,01:19:00 PM,ABCO 2.1,No,"How much pollen is released?",,NULL,Pollen cones,Pollen release,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL
25751749,2021-04-23,01:19:00 PM,ABCO 2.1,Yes,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL
25751750,2021-04-23,01:19:00 PM,ABCO 2.1,No,"How many seed cones are ripe?",,NULL,Seed cones,Ripe seed cones,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL
25751751,2021-04-23,01:19:00 PM,ABCO 2.1,No,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Seed cones,Recent cone or seed drop,Abies concolor,white fir,37.0173,-119.144,CZO 2,1953,"Mature, large tree near other firs; DBH: 44",NULL
25751752,2021-04-23,01:19:00 PM,CECO 2.1,Yes,"How many young leaves are present?","11 to 100",NULL,Leaves,Young leaves,Ceanothus cordulatus,whitethorn ceanothus,37.0173,-119.144,CZO 2,1953,"In full sun, 6 ft at max height, 14 sq meter patch",NULL
25751753,2021-04-23,01:19:00 PM,CECO 2.1,No,"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.",,NULL,Flowers,Flowers or flower buds,Ceanothus cordulatus,whitethorn ceanothus,37.0173,-119.144,CZO 2,1953,"In full sun, 6 ft at max height, 14 sq meter patch",NULL
25751754,2021-04-23,01:19:00 PM,CECO 2.1,No,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",,NULL,Flowers,Open flowers,Ceanothus cordulatus,whitethorn ceanothus,37.0173,-119.144,CZO 2,1953,"In full sun, 6 ft at max height, 14 sq meter patch",NULL
25751755,2021-04-23,01:19:00 PM,CECO 2.1,No,"How many fruits are present?",,NULL,Fruits,Fruits,Ceanothus cordulatus,whitethorn ceanothus,37.0173,-119.144,CZO 2,1953,"In full sun, 6 ft at max height, 14 sq meter patch",NULL
25751756,2021-04-23,01:19:00 PM,CECO 2.1,No,"What percentage of all fruits (unripe plus ripe) on the plant are ripe? ",,NULL,Fruits,Ripe fruits,Ceanothus cordulatus,whitethorn ceanothus,37.0173,-119.144,CZO 2,1953,"In full sun, 6 ft at max height, 14 sq meter patch",NULL
25751757,2021-04-23,01:19:00 PM,CECO 2.1,No,"How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Fruits,Recent fruit or seed drop,Ceanothus cordulatus,whitethorn ceanothus,37.0173,-119.144,CZO 2,1953,"In full sun, 6 ft at max height, 14 sq meter patch",NULL
25751758,2021-04-23,01:19:00 PM,ARPA 2.1,Yes,"How many buds are breaking?","3 to 10",NULL,Leaves,Breaking leaf buds,Arctostaphylos patula,greenleaf manzanita,37.0173,-119.144,CZO 2,1953,"Full sun, in a patch 20 m sq. ",NULL
25751759,2021-04-23,01:19:00 PM,ARPA 2.1,Yes,"How many young leaves are present?","11 to 100",NULL,Leaves,Young leaves,Arctostaphylos patula,greenleaf manzanita,37.0173,-119.144,CZO 2,1953,"Full sun, in a patch 20 m sq. ",NULL
25751760,2021-04-23,01:19:00 PM,ARPA 2.1,Yes,"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.","11 to 100",NULL,Flowers,Flowers or flower buds,Arctostaphylos patula,greenleaf manzanita,37.0173,-119.144,CZO 2,1953,"Full sun, in a patch 20 m sq. ",NULL
25751761,2021-04-23,01:19:00 PM,ARPA 2.1,No,"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.",,NULL,Flowers,Open flowers,Arctostaphylos patula,greenleaf manzanita,37.0173,-119.144,CZO 2,1953,"Full sun, in a patch 20 m sq. ",NULL
25751762,2021-04-23,01:19:00 PM,ARPA 2.1,No,"How many fruits are present?",,NULL,Fruits,Fruits,Arctostaphylos patula,greenleaf manzanita,37.0173,-119.144,CZO 2,1953,"Full sun, in a patch 20 m sq. ",NULL
25751763,2021-04-23,01:19:00 PM,ARPA 2.1,No,"What percentage of all fruits (unripe plus ripe) on the plant are ripe? ",,NULL,Fruits,Ripe fruits,Arctostaphylos patula,greenleaf manzanita,37.0173,-119.144,CZO 2,1953,"Full sun, in a patch 20 m sq. ",NULL
25751764,2021-04-23,01:19:00 PM,ARPA 2.1,No,"How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?",,NULL,Fruits,Recent fruit or seed drop,Arctostaphylos patula,greenleaf manzanita,37.0173,-119.144,CZO 2,1953,"Full sun, in a patch 20 m sq. ",NULL
25751765,2021-04-23,01:19:00 PM,CADE 2.2,Yes,"How many fresh pollen cones are present?","More than 10,000",NULL,Pollen cones,Pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Mature tree, 67 cm dbh",NULL
25751766,2021-04-23,01:19:00 PM,CADE 2.2,Yes,"What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ","25-49%",NULL,Pollen cones,Open pollen cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Mature tree, 67 cm dbh",NULL
25751767,2021-04-23,01:19:00 PM,CADE 2.2,Yes,"How much pollen is released?","Some",NULL,Pollen cones,Pollen release,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Mature tree, 67 cm dbh",NULL
25751768,2021-04-23,01:19:00 PM,CADE 2.2,No,"How many seed cones are unripe?",,NULL,Seed cones,Unripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Mature tree, 67 cm dbh",NULL
25751769,2021-04-23,01:19:00 PM,CADE 2.2,Yes,"How many seed cones are ripe?","101 to 1,000",NULL,Seed cones,Ripe seed cones,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Mature tree, 67 cm dbh",NULL
25751770,2021-04-23,01:19:00 PM,CADE 2.2,Yes,"How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?","1,001 to 10,000",NULL,Seed cones,Recent cone or seed drop,Calocedrus decurrens,incense cedar,37.0173,-119.144,CZO 2,1953,"Mature tree, 67 cm dbh",NULL
25751771,2021-04-23,02:12:00 PM,CECO 2.2,Yes,"How many young leaves are present?","11 to 100",NULL,Leaves,Young leaves,Ceanothus cordulatus,whitethorn ceanothus,37.0173,-119.144,CZO 2,1953,"25 sq m",NULL
